部分,考试类型,问题类型,问答对,筛选后三元组
高考学考,秋考,报名篇,问：中本贯通需要参加高考吗？答：中本贯通转段需要参加三校生高考。,"['(中本贯通转段, 需要参加, 三校生高考)']"
高考学考,秋考,报名篇,问：中高职贯通、五年一贯制需要参加高考吗？答：中高职贯通转段、五年一贯制转入高等学校的考试由所在学校负责，仅进行高考报名。,"['(中高职贯通转段, 需进行, 高考报名)', '(五年一贯制, 需进行, 高考报名)', '(中高职贯通转段, 负责机构, 所在学校)', '(五年一贯制, 考试负责机构, 所在学校)']"
高考学考,秋考,报名篇,问：体育单招、保送生、英才班需要报名吗？答：保送生（含外语及竞赛保送生、六部委保送录取优秀运动员）、运动训练、武术与民族传统体育专业考生、高水平运动队、西藏高中班、新疆高中班、新疆中职班、西藏中职班学生、英才班等拔尖创新人才选拔录取的考生，也必须办理报名手续取得报名号。,"['(保送生, 包含, 外语及竞赛保送生)', '(运动训练专业考生, 属于, 拔尖创新人才选拔录取的考生)', '(武术与民族传统体育专业考生, 属于, 拔尖创新人才选拔录取的考生)', '(高水平运动队, 属于, 拔尖创新人才选拔录取的考生)', '(西藏高中班学生, 属于, 拔尖创新人才选拔录取的考生)', '(新疆高中班学生, 属于, 拔尖创新人才选拔录取的考生)', '(西藏中职班学生, 属于, 拔尖创新人才选拔录取的考生)', '(英才班, 属于, 拔尖创新人才选拔录取的考生)', '(拔尖创新人才选拔录取的考生, 必须办理, 报名手续)']"
高考学考,秋考,报名篇,问：体育单招、保送生、英才班报名怎么选择相关考试？答：个人信息如实填报，报考考试选择秋考。,[]
高考学考,秋考,报名篇,问：考生目前大一就读，是否可以参加2024年高考报名？（哪些人员不属于报名对象？）答：（1）具有普通高等学历教育资格的高校在校生，或已被普通高校录取并保留入学资格的学生（大学在籍）；（2）高中阶段学校非应届毕业的在校生（高一、高二年级。三校生一、二年级等）；（3）在高中阶段非应届毕业年份以弄虚作假手段报名并违规参加普通高校招生考试（包括全国统考、省级统考和高校单独组织的招生考试）的应届毕业生；（4）因违反国家教育考试规定，被给予暂停参加普通高校招生考试处理且在停考期内的人员；（5）因触犯刑法已被有关部门采取强制措施或正在服刑者，其中，未成年人按相关法律规定执行。,"['(报名对象, 不包括, 普通高等学历教育资格的高校在校生)', '(报名对象, 不包括, 已被普通高校录取并保留入学资格的学生)', '(报名对象, 不包括, 高中阶段学校非应届毕业生)', '(报名对象, 不包括, 弄虚作假报名并违规参加普通高校招生考试的考生)', '(报名对象, 不包括, 违反国家教育考试规定且在停考期内的人员)', '(报名对象, 不包括, 触犯刑法并被采取强制措施或正在服刑者)']"
高考学考,秋考,报名篇,问：考生是上海户口，参加高考有什么条件吗？（本市户籍考生参加高考报名需要哪些条件？）答：本市户籍人员具有本市常住户籍的高中阶段学校毕业生或具有同等学力者（含具有本市常住户籍的非本市高中阶段学校毕业生）。,"['(上海户口, 等同于, 本市常住户口)', '(本市户籍考生, 报名条件, 高级中等教育学校毕业或具有同等学力)', '(本市户籍高考报名条件, 包含, 同等学力者)', '(同等学力者, 包含, 具有本市常住户籍的非本市高中阶段学校毕业生)', '(同等学力者, 必须具有, 本市常住户口)']"
高考学考,秋考,报名篇,问：考生不是上海户口，参加高考有什么条件吗？（非本市户籍考生参加高考报名需要哪些条件？）答：非本市户籍考生需要满足下列条件之一：（1）考生为积分达到标准分值的《上海市居住证》持证人的同住子女，且在本市参加中招或父母一方连续持有《上海市居住证》3年，同时须本市高中阶段学校毕业；（2）考生为《上海市海外人才居住证》留学人员持证人的同住子女，且须本市高中阶段学校毕业；（3）考生为持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（4）考生父母双方或一方现属本市常住户籍，考生本人持《上海市居住证》，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（5）考生父母双方或一方是经市政府合作交流办认定的驻沪机构工作人员，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（6）考生为在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人，且为高中阶段学校毕业生；（7）考生父母双方或一方是在沪博士后科研流动站（工作站）在站人员，且考生为高中阶段学校毕业生；（8）考生属在沪台胞，香港、澳门特别行政区永久居民身份，且为本市高中阶段学校毕业生；（9）考生为梅山、大屯、鲁矿三地上海后方基地单位职工子女，且纳入市教委锁定名单，须参加本市中招且本市高中阶段学校毕业。,"['(非本市户籍考生, 需为同住子女, 上海市海外人才居住证持证人)', '(留学人员持证人, 持有, 上海市海外人才居住证)', '(外国护照子女, 持有效, 具有本市户籍留学人员其持外国护照子女享受优惠政策证明)', '(非本市户籍考生, 父母属于, 本市常住户口)', '(市政府合作交流办, 认定, 驻沪机构工作人员)', '(非本市户籍考生, 父母为, 经市政府合作交流办认定的驻沪机构工作人员)', '(外国人, 持有, 签发地为上海的中华人民共和国外国人永久居留身份证)', '(在沪定居并持有上海签发外国人永久居留身份证的外国人, 需为, 高中阶段学校毕业生)', '(在沪台胞, 需为, 本市高中阶段学校毕业生)', '(香港特别行政区永久居民考生, 需为, 本市高中阶段学校毕业生)', '(梅山, 属于适用地区, 上海后方基地单位职工子女所在地之一)']"
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：本市户籍考生、本市高中阶段学校毕业生中的应届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：本市户籍考生、本市高中阶段学校毕业生中的往届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，毕业证书；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市高中阶段学校毕业生中的应届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，学籍所在学校证明；,
高考学考,秋考,报名篇,"问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市高中阶段学校毕业生中的往届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：身份证，户籍证明，毕业证书；
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：驻外使领馆工作人员随任子女中的应届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：驻外使领馆出具回国证明，加盖使领馆印章；国外学校证明（译文版），本人常住户口登记卡；""",
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：驻外使领馆工作人员随任子女中的往届毕业生；要求：高中阶段学校毕业或具有同等学历；有关证明：持证人上海市居住证及积分通知单，持证人与考生的身份证；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，持积分达到标准分值的《上海市居住证》人员子女中的应届毕业生；要求：本市高中阶段学校毕业，且参加本市中招或父母一方连续持有《上海市居住证》3年；有关证明：持证人上海市居住证及积分通知单，持证人与考生的身份证；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，持积分达到标准分值的《上海市居住证》人员子女中的往届毕业生；要求：本市高中阶段学校毕业，且参加本市中招或父母一方连续持有《上海市居住证》3年；有关证明：持证人上海市居住证及积分通知单，持证人与考生的身份证，毕业证书；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的应届毕业生；要求：本市高中阶段学校毕业；有关证明：无；备注：市外国专家局锁定名单,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的往届毕业生；要求：本市高中阶段学校毕业；有关证明：无；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的往届毕业生；要求：2023年列入本市高考报名库；有关证明：市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，父母双方或一方现属上海市常住户籍中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：父母一方现属本市户口的户籍证明，本人《上海市居住证》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，父母双方或一方现属上海市常住户籍中的往届毕业生；要求：2023年列入本市高考报名库；有关证明：父母一方现属本市户口的户籍证明，本人《上海市居住证》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；备注：名单由市教育考试院下达给各区,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的往届毕业生；要求：2023年列入本市高考报名库；有关证明：无；备注：名单由市教育考试院下达给各区,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的应届毕业生；要求：本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的往届毕业生；要求：本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的应届毕业生；要求：高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的往届毕业生；要求：高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的应届毕业生；要求：高中阶段学校毕业；有关证明：市人力资源社会保障局证明；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的往届毕业生；要求：高中阶段学校毕业；有关证明：市人力资源社会保障局证明；,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的应届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；备注：市教委锁定学生名单,
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：对象：非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的往届毕业生；要求：参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；备注：市教委锁定学生名单,"['(2024年, 适用年份, 秋季统一高考)']"
高考学考,秋考,报名篇,问：非本市户籍往届考生，父母双方或一方现属上海市常住户籍，参加本市中招且具有本市高中阶段完整学习经历。考生于2022年参加高考，未前往录取学校报到。2023年没有参加高考在复读2024年是否可以参与高考？答：不可以。考生父母双方或一方现属上海市常住户籍，考生本人持《上海市居住证》，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生。,"['(非本市户籍往届考生, 父母一方或双方现属, 上海市常住户籍)', '(非本市户籍往届考生, 参加, 本市中招)', '(非本市户籍往届考生, 具有, 本市高中阶段完整学习经历)', '(非本市户籍往届考生, 未前往报到, 录取院校)', '(非本市户籍往届考生, 未被列入, 2023年高考报名库)', '(父母一方现属上海市常住户籍的非本市户籍往届考生, 需持有, 上海市居住证)', '(非本市户籍往届考生, 必须属于, 2023年已列入本市高考报名库的往届毕业生)']"
高考学考,秋考,报名篇,问：梅山、大屯、鲁矿三地高中考生是否也可以参加上海的高考？答：梅山、大屯、鲁矿三地上海后方基地单位职工子女，且纳入市教委锁定名单，须参加本市中招且本市高中阶段学校毕业。,"['(上海后方基地单位职工子女, 需符合条件, 市教委锁定名单)', '(纳入市教委锁定名单的上海后方基地单位职工子女, 须参加, 本市中招)', '(上海后方基地单位职工子女, 需毕业于, 本市高中阶段学校)', '(上海后方基地单位职工子女, 符合条件可参加, 上海的高考)']"
高考学考,秋考,报名篇,问：台湾同胞，香港、澳门华侨考生高考考卷是否比上海高考考卷容易？答：该考试是“普通高校联合招收华侨港澳台学生入学考试”，并非上海秋考。详情请咨询广东省考试院（专线电话020-62833628），上海设立考点。,"['(普通高校联合招收华侨港澳台考试, 非, 上海秋考)', '(广东省考试院, 专线电话, 020-62833628)', '(上海, 设立, 华侨港澳台联考考点)', '(华侨港澳台考生, 参加, 普通高校联合招收华侨港澳台考试)', '(香港考生, 参加, 普通高校联合招收华侨港澳台考试)', '(澳门华侨考生, 参加, 普通高校联合招收华侨港澳台考试)', '(华侨港澳台考生, 参加, 普通高校联合招收华侨港澳台考试)', '(华侨港澳台学生高考考卷, 属于, 普通高校联合招收华侨港澳台考试)']"
高考学考,秋考,报名篇,问：考生是高三应届毕业生，可以报考哪些考试项目？（本市学籍应届高中毕业生可以报考哪些考试项目？）答：符合报名条件的本市学籍应届高中毕业生可以报考春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含艺术类统一考试、体育类统一考试）。,"['(本市应届高中毕业生, 可报考, 春季考试)', '(本市应届高中毕业生, 可报考, 1月份外语科目考试)', '(本市应届高中毕业生, 可报考, 专科自主招生考试)', '(本市应届高中毕业生, 可报考, 秋季统一高考)', '(秋季统一高考, 包含, 艺术类统考)', '(秋季统一高考, 包含, 体育类专业统考)']"
高考学考,秋考,报名篇,问：考生2023年高考失利，复读中，准备参加2024年高考，是所有的考试都可以报名吗？（符合报名条件的往届高中阶段学校毕业生可以报考哪些考试项目？）答：符合报名条件的往届高中阶段毕业生可以报考：春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含艺术类统一考试、体育类统一考试）。,"['(符合报名条件的往届高中阶段学校毕业生, 可报考, 春季考试)', '(符合报名条件的往届高中阶段学校毕业生, 可报考, 1月份外语科目考试)', '(符合报名条件的往届高中阶段学校毕业生, 可报考, 专科自主招生考试)', '(符合报名条件的往届高中阶段学校毕业生, 可报考, 秋季统一高考)', '(秋季统一高考, 包含, 艺术类统考)', '(秋季统一高考, 包含, 体育类专业统考)']"
高考学考,秋考,报名篇,问：考生是上海户籍，但是人在外省市读高中，回上海可以参加哪些考试项目？（符合报名条件但非本市学籍应届高中阶段毕业生可以报考哪些考试项目？）答：符合报名条件但非本市学籍应届高中阶段毕业生可报考：春季考试、1月份外语考试、专科自主招生考试、秋季统一高考（含本市艺体类专业统一考试）。,"['(考生, 户籍地, 上海)', '(考生, 符合条件, 符合报名条件但非本市学籍应届高中阶段毕业生)', '(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 春季考试)', '(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 1月份外语科目考试)', '(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 专科自主招生考试)', '(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 秋季统一高考)', '(秋季统一高考, 包含, 艺体类专业统考)']"
高考学考,秋考,报名篇,问：考生目前读中职校，符合报名条件，可以参加哪些高考考试？（本市学籍应届三校生可以报考哪些考试项目？）答：符合报名条件本市学籍应届三校生可以报考专科自主招生考试，也可以在秋季统一高考（含1月份外语考试）和三校生高考中选择一项进行报考。需要注意的是，只有选择了秋季统一高考，方可选择本市艺体类专业统一考试；若选择三校生高考，则不可选择本市艺体类专业统一考试。,"['(本市应届毕业三校生, 可以报考, 专科自主招生考试)', '(本市应届毕业三校生, 可选择报考, 秋季统一高考)', '(本市应届毕业三校生, 可选项包含, 三校生高考)', '(秋季统一高考, 包含, 1月份外语科目考试)', '(艺体类专业统考, 前提条件, 秋季统一高考)', '(三校生高考, 不可选择, 艺体类专业统考)']"
高考学考,秋考,报名篇,问：考生家长未达到居住证标准积分，考生是否可以参加秋考？（持有积分未达到标准分值的《上海市居住证》持证人的同住子女可以报考哪些考试项目？）答：考生为持有积分未达到标准分值的《上海市居住证》持证人的同住子女，且参加本市全日制普通中等职业学校自主招生考试并完成全日制中等职业教育完整学习经历的毕业生，以及长三角示范区职教一体化招收的在本市中等职业学校就读的吴江、嘉善两地学生并完成全日制中等职业教育的毕业生。其中应届毕业生只可参加3月专科层次依法自主招生考试和5月招收中等职业学校应届毕业生考试的专科层次录取，往届毕业生只可参加3月专科层次依法自主招生考试。,"['(考生家长, 积分未达到, 标准分值)', '(考生家长, 持有, 积分未达标准分值的上海市居住证)', '(同住子女, 需参加, 全日制普通中等职业学校自主招生考试)', '(同住子女, 完成, 全日制中等职业教育)', '(持有未达标上海市居住证同住子女的应届毕业生, 可参加, 3月专科层次依法自主招生考试)', '(应届毕业生, 可参加, 5月招收中等职业学校应届毕业生考试的专科层次录取)', '(往届毕业生, 可参加, 3月专科层次依法自主招生考试)', '(长三角示范区职教一体化, 招收, 嘉善学生)', '(吴江学生, 就读于, 上海市中等职业学校)', '(5月招收中等职业学校应届毕业生考试, 录取层次, 专科层次)']"
高考学考,秋考,报名篇,问：听说三校生高考比秋考容易，考生目前就读高中应届毕业。是否可以报考三校生高考？（考生是本市户籍，但在外省市就读中职校，是否可以报考本市三校生高考？）答：不可以，三校生高考仅限本市学籍应届毕业三校生报考。,"['(三校生高考, 报考条件, 本市应届毕业三校生)', '(考生, 是, 高中应届毕业生)']"
高考学考,秋考,报名篇,问：考生是新疆中职班应届毕业生（西藏中职班），是否可以参与秋考，报考本科院校？答：考生为本市新疆中职班、西藏中职班应届毕业生（名单由市教委锁定），只可报名参加专科自主招生考试。,"['(本市新疆中职班应届毕业生, 不可报考, 本科院校秋考)', '(秋考, 属于, 高考学考)']"
高考学考,秋考,报名篇,问：是否有各类考试项目兼报一览表？答：详见附件高考报名相关图表。,"['(高考学考, 可兼报, 秋考)', '(秋考, 包含, 报名篇)', '(各类考试项目兼报一览表, 包含于, 附件高考报名相关图表)']"
高考学考,秋考,报名篇,问：考生是本市户籍，目前只有初中学历，是否可以参加高考？（本市户籍同等学力如何参加高考？）答：本市户籍考生取得初中学历满三年及以上，请联系户口所在区招考机构进行材料审核。通过审核方可参加高考。,"['(本市户籍考生, 需满足, 初中学历满三年及以上)', '(初中学历, 需满足年限, 三年及以上)', '(本市户籍考生, 需联系, 户口所在区招考机构)', '(区考试招生机构, 审核, 材料)']"
高考学考,秋考,报名篇,问：报名操作界面是怎样的？答：本市应届高中、中职校应届毕业生由学籍库信息转入。,"['(本市学籍应届高中阶段毕业生, 信息转入自, 学籍库信息)', '(中职校应届毕业生, 信息转入自, 学籍库信息)']"
高考学考,秋考,报名篇,问：考生是在籍在校应届毕业生，高中老师联系家长说是报名时姓名/身份证错误怎么办，家长很着急是不是能直接通过考试院反映情况？答：应届高中生的学籍号、姓名、身份证号码错误，请老师在学籍系统里面修改。如班主任不清楚相关事项，请班主任联系学籍管理老师，同时请家长准备相关材料，向学校提出书面申请及身份证复印件等相关材料，敲章后给区招考机构，由区招考机构报送考试院。,"['(高中老师, 联系, 家长)', '(班主任, 联系, 学籍管理老师)', '(家长, 准备, 书面申请及身份证复印件等材料)', '(书面申请, 提交至, 学校)', '(学校, 提交盖章材料至, 区考试招生机构)', '(区考试招生机构, 报送, 教育考试院)']"
高考学考,秋考,报名篇,问：报名登录页面操作重点是什么？答：个人简历请从高中阶段开始填写，至少填写一条。家庭成员：至少填写一条信息。,"['(报名登录页面, 要求填写, 个人简历)', '(报名登录页面, 要求填写, 家庭成员至少填写一条信息)', '(个人简历, 开始于, 高中阶段)', '(个人简历, 最低填写要求, 至少填写一条)', '(家庭成员信息, 填写要求, 至少填写一条信息)']"
高考学考,秋考,报名篇,问：选择报名考试项目的操作重点是什么？答：请根据自身情况选择报考。选择秋季高考，必须有三门等级考报名，才可参加本科录取。10月大报名时勾选的3门学业水平等级考科目并不能成为次年5月学业水平等级考的报考依据，仅作为信息采集。如后续更改学业水平等级考相关科目，请于次年3月考试报名前，在校生与学校联系沟通，其他考生请在报名时自行更改。选择外语语种时需注意，外语考试一年两考，两次外语考试的语种必须一致。 一旦选择无法更改。,[]
高考学考,秋考,报名篇,问：考生是否可以只报考春考外语，不报考语数？答：可以，仅选择一月份外语考试即可。,"['(春考, 允许单独报考, 外语)', '(1月份外语科目考试, 属于, 春考)', '(春考, 允许仅报考外语, 语文和数学)']"
高考学考,秋考,报名篇,问：报名时选择考试是否会有自动关联操作？答：选择一月份外语考试将默认勾选秋季高考。选择春季高考包含一月份外语考试，无需额外勾选。应届毕业三校生不得选择春季高考。,"['(1月份外语科目考试, 默认勾选, 秋季高考)', '(春季高考, 包含, 1月份外语科目考试)', '(应届毕业三校生, 禁止报考, 春季高考)']"
高考学考,秋考,报名篇,问：考生是本市户口本市应届毕业三校生，现在对自己的实力不确定，想参加三校生高考又想参加秋考，是否可以现在2个都勾选，然后等到考试的时候前再决定去不去？答：不可以，符合报考条件的考生在三校生高考与秋季高考中只能二选一。,"['(考生, 户籍所在地, 本市)', '(考生, 是, 本市应届毕业三校生)', '(三校生高考, 不可兼报, 秋季高考)', '(高考学考, 互斥, 秋考)', '(报名篇, 属于, 秋考)']"
