部分,考试类型,问题类型,问答对,筛选后三元组
自学考试,自学考试,报名篇,问：如何办理省级转考的成绩转入？答：（1）主考高校自考办每年3月16日至3月25日、9月16日至9月25日接收转入考生电子档案。考生转入手续具体受理时间以主考高校规定为准。（2）考生须本人持有效居民身份证件到主考高校自考办，对转入电子档案信息及办理结果进行现场确认，并在主考高校自考办出具的《高等教育自学考试转考（转入）登记表》上签字。（3）本市停考过渡专业原则上不接受考生转入申请。（4）转考考生应当在本市取得专科不少于5门、本科不少于4门合格成绩（不包括公共基础课程与未通过理论课程考核的实践课程的合格成绩）的基础上，符合主考高校专业转考实施细则规定，方可在本市申办毕业手续。（5）本市在籍考生不得中途到其他省（区、市）借考。本市也不办理考生到其他省（区、市）借考课程成绩转入手续。,"['(主考高校自考办, 接收, 转入考生电子档案)', '(考生, 持, 居民身份证)', '(停考过渡专业, 不接受, 转入申请)', '(合格成绩, 不包括, 公共基础课程)', '(本市, 不办理, 其他省借考课程成绩转入手续)']"
自学考试,自学考试,报名篇,问：自学考试主考高校地址和电话联系方式？答：考生可关注“上海招考热线”网站（www.shmeea.edu.cn） 首页—自学考试栏目每次考试报名公告后附的《主考高校联系方式及开考专业》。注：2023年主考高校联系方式为：https://www.shmeea.edu.cn/download/20230815/02.pdf。,"['(上海招考热线网站, 包含, 自学考试栏目)', '(自考, 报名信息查询渠道, 上海招考热线网站)']"
自学考试,自学考试,报名篇,问：如何选择自学考试报考学校和报考专业？答：考生可结合自身工作需要、兴趣爱好、未来发展和现阶段学历层次等方面的情况，选择适合自己的专业。具体专业信息可登录“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—政策法规“上海市高等教育自学考试专业分类表（20XX年）”查阅各主考高校的网址了解。,"['(考生, 选择, 报考学校)', '(考生, 选择, 报考专业)', '(报考专业, 属于, 自考)', '(考生, 考虑因素, 自身工作需要)', '(考生, 考虑, 兴趣爱好)', '(考生, 需考虑, 现阶段学历层次)', '(考生, 访问, 上海市教育考试院报名网站)']"
自学考试,自学考试,报名篇,问：自学考试报名有条件吗？答：上海市自学考试报名的考生应该是具备上海市户籍或在上海市居住或在上海市工作的人员，报名不受性别、年龄、民族、种族和已受教育程度的限制。但由于考试特点决定，不能独立参加完成考试的人员不建议报考（一般不建议16周岁以下考生报考自学考试）。,"['(上海市自学考试, 报名条件, 在上海市居住)', '(上海市自学考试, 无报名限制, 性别)', '(上海市自学考试, 报名条件不限制, 年龄)', '(上海市自学考试, 报名限制排除, 民族)', '(上海市自学考试, 报名条件不受限制, 种族)', '(上海市高等教育自学考试报名, 不限制, 已受教育程度)', '(16周岁以下考生, 一般不建议报考, 上海市自学考试)']"
自学考试,自学考试,报名篇,问：自学考试专科和本科可以同时考吗？答：有个别高校的专升本专业（如中医类）要求先取得专科以上学历后才能报考，其他高校没有限制；但专升本申请毕业必须要取得专科的前置学历。,"['(中医类, 属于, 专升本专业)', '(专升本专业, 申请毕业需要, 专科前置学历)', '(专升本申请毕业, 要求, 专科前置学历)']"
自学考试,自学考试,报名篇,问：怎么报名参加自学考试？答：报名采用网上报名形式，考生在规定时间登录“上海招考热线网站”（www.shmeea.edu.cn）首页—考试报名“20XX年上/下半年上海市高等教育自学考试报名”平台内进行报名。,"['(上海市高等教育自学考试报名, 采用方式, 网上报名)', '(自学考试报名, 通过平台, 上海市教育考试院报名网站)']"
自学考试,自学考试,报名篇,问：什么时候可以开始报名？答：详情请以“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—自考新闻公告信息为准。注：2024年上半年自考报名时间2月28号—3月2日9:00—22:00，3月3日9:00—12:00。2023年下半年自考报名时间8月30号—9月2日9:00—22:00，9月3日9:00—12:00。,"['(上海市教育考试院报名网站, 包含栏目, 自考)', '(自考, 报名时间, 2023年8月30日-9月3日)']"
自学考试,自学考试,报名篇,问：自学考试有补报名吗？答：没有，如错过本次考试，请考生关注下一次的自学考试。,"['(自考, 不提供, 补报名)', '(考生, 关注, 下一次自学考试)']"
自学考试,自学考试,报名篇,问：报名期间已经缴费的可以申请退费吗？答：请直接联系报名界面的技术支持。,"['(自学考试报名退费, 联系, 报名界面技术支持)']"
自学考试,自学考试,报名篇,"问：因个人原因未能参加考试的,是否可以退还报考费？答：不予退费。",[]
自学考试,自学考试,报名篇,问：什么是免考？哪些课程可以免考？如何办理免考手续？答：符合课程免考条件者，可以按照《上海市高等教育自学考试课程免考规定》及主考高校相关要求，申请免考所报考专业考试计划中规定的课程。申请免考的自考生须取得所学专业六门及以上理论课程合格成绩后方可申请办理课程免考手续。考生办理免考应在主考高校规定的时间内提出申请。填写《上海市高等教育自学考试申请免考登记表》，提供必要的正本证明材料（毕业证书，原所在高校的校级学籍管理部门出具的课程名称及成绩证明等）。经主考高校查验核准后，分别于每年的6月或12月汇总，报上海市高等教育自学考试办公室审核批准。,"['(免考手续, 办理机构, 主考高校)', '(免考手续, 前置条件, 六门及以上理论课程合格成绩)', '(免考手续, 需要材料, 毕业证书)', '(免考手续, 需要提供, 课程名称及成绩证明)', '(主考高校, 报送, 上海市高等教育自学考试办公室)']"
自学考试,自学考试,考试篇,问：自学考试教材和考纲信息从哪里获取？答：自学考试教材和考纲信息来源可分如下两类： （1）主考高校的公告。（2）上海市教育考试院的公告“上海招考热线”网站（www.shmeea.edu.cn）首页—自学考试—大纲教材。,"['(主考高校, 发布, 自学考试大纲教材公告)', '(上海教育考试院, 发布, 自学考试大纲教材公告)', '(上海市教育考试院报名网站, 隶属于, 上海教育考试院)', '(上海招考热线首页, 包含栏目, 自考)']"
自学考试,自学考试,考试篇,问：自学考试教材在哪里可以买到？答：自考教材可从博益网：http://www.boeebook.cn/购买。,"['(自学考试教材, 购买渠道, 博益网)']"
自学考试,自学考试,考试篇,问：准考证哪里下载？什么时候下载？答：考生可在规定时间内登录“上海招考热线网站”（www.shmeea.edu.cn）首页—考试报名—“20XX年上/下半年上海市高等教育自学考试准考证下载”平台内下载。注：2023年下半年自考准考证下载时间是10月20日9：00起。,"['(考生, 下载, 上海市高等教育自学考试准考证)', '(考生, 下载准考证, 上海市教育考试院报名网站)', '(上海市教育考试院报名网站, 包含栏目, 考试报名)']"
自学考试,自学考试,考试篇,问：自学考试中有哪些考场规则和注意事项？答：考生可在“上海招考热线”网站查看考场规则，“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—自考新闻栏目“20XX年上/下半年上海市高等教育自学考试考前提示”查看公告内附件《20XX年上/下半年上海市高等教育自学考试考场规则》《20XX年上/下半年上海市高等教育自学考试考生答题注意事项》。同时随准考证向每个考生发放考试注意事项，作为对考生的提醒。请所有考生务必在考前仔细阅读上述考场规则与注意事项，避免在考试期间出现违规行为。,"['(上海市教育考试院报名网站, 发布, 考场规则)', '(自考, 具有, 考场规则)', '(自考, 提供, 考生答题注意事项)', '(准考证, 附带, 考试注意事项)']"
自学考试,自学考试,考试篇,问：考生如果迟到了，最晚什么时候可以进入考场？答：考生迟到15分钟后不准进入考点参加当次科目考试，交卷出场时间不得早于每科目考试结束前30分钟。,"['(考生, 禁止入场条件, 迟到超过15分钟)', '(考生, 迟到15分钟后不准参加, 当次科目考试)', '(交卷出场时间, 不得早于, 每科目考试结束前30分钟)']"
自学考试,自学考试,考试篇,问：考生身份证遗失如何进入考点？答：本人有效证件原件含：居民身份证（含有效期内的临时身份证）、有照片的社保卡、驾驶证、护照、军人证、港澳台居民居住证、外国人永久居留证。电子身份证不作为考试入场有效证件使用。,"['(居民身份证, 是有效证件, 自学考试考点)', '(临时身份证, 允许进入, 考点)', '(有照片的社保卡, 属于, 考试入场有效证件)', '(驾驶证, 是有效证件, 考试入场)', '(护照, 作为入场有效证件, 考点)', '(军人证, 允许进入, 自学考试考点)', '(港澳台居民居住证, 允许进入, 考生进入考点)', '(中华人民共和国外国人永久居留证, 允许进入, 考点)', '(电子身份证, 不作为有效证件, 考试入场)']"
自学考试,自学考试,考试篇,问：自学考试可以携带计算器吗？答：考生可查看“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—自考新闻—“20XX年上/下半年上海市高等教育自学考试考前提示”信息内查看附件《20XX年上/下半年上海市高等教育自学考试可用计算器课程清单》。自学考试不可以携带有电子存储记忆功能、收发信息功能、图像显示功能的计算器。,"['(自考, 需查看考前提示, 上海市教育考试院报名网站)', '(计算器, 禁止的功能, 电子存储记忆功能)']"
自学考试,自学考试,考试篇,问：考试现场没有钟表，考生可以自己带手表进入考场吗？答：见秋考93问——严禁携带手机、智能手表、智能手环、蓝牙耳机等通讯工具进入考点。,"['(考生,禁止携带,手机、智能手表、智能手环、蓝牙耳机等通讯工具)']"
自学考试,自学考试,考试篇,问：申请合理便利的残疾考生所携带的助听器、人工耳蜗、拐杖、轮椅等可正常通过安检吗？答：见秋考94问——可以。,"['(申请合理便利的残疾考生, 允许携带, 助听器、人工耳蜗、拐杖、轮椅)']"
自学考试,自学考试,考试篇,问：考生有低血糖或听力障碍，腿脚不便等问题，该如何申请合理化便利？答：请考生提前将自身情况向主考高校反映,"['(考生, 有, 低血糖)', '(考生, 有, 听力障碍)', '(考生, 有健康问题, 腿脚不便)', '(考生, 向主考高校申请, 合理化便利)']"
自学考试,自学考试,考试篇,问：考试缺考影响下一次报考吗？答：不影响下次考试，建议没有特殊原因不要缺考。,"['(自学考试缺考, 不影响, 下次报考)']"
自学考试,自学考试,考试篇,问：考试违纪或作弊影响下一次报考吗？答：要看违纪情况。如情节严重的，会给予“停考X年”的处罚。,"['(自学考试作弊, 导致, 停考X年)', '(考试违纪情节严重, 导致, 停考X年)', '(停考X年, 导致无法, 下一次自学考试报考)']"
自学考试,自学考试,成绩、毕业篇,问：考试成绩什么时候可以查看？答：自考成绩公布时间一般为每年的6月1日和12月1日。,"['(自考成绩公布时间, 公布时间, 每年的6月1日和12月1日)', '(自考成绩公布时间, 通常为, 每年的6月1日和12月1日)']"
自学考试,自学考试,成绩、毕业篇,问：自考成绩在哪里查询？答：考生可于规定时间登录上海市教育考试院官网（网址：www.shmeea.edu.cn，点击首页“成绩查询”栏目进入“上海市20XX年上/下半年自学考试成绩查询”，选择“线路”进入，输入本人高等教育自学考试准考证号和身份证号）进行查询。,"['(上海招考热线首页, 提供, 自考考试成绩)', '(上海市自学考试成绩查询, 需要输入, 准考证号和身份证号)']"
自学考试,自学考试,成绩、毕业篇,问：对自考成绩有疑义？答：可在规定时间向主考高校申请成绩复核，具体复核时间与复核方式由主考高校确定。成绩复核只核查答题卡姓名、准考证号是否与考生本人对应，试卷有无漏评、漏阅，小题得分是否漏统（登），各小题得分合成后是否与提供给考生的成绩一致等；不重新评阅答卷；不查阅答卷。注：2023年上半年成绩复核时间6月2日至6月4日。,"['(成绩复核, 申请受理方, 主考高校)', '(成绩复核, 核查内容, 考生姓名及准考证号对应)', '(2023年上半年自学考试成绩复核, 复核时间, 6月2日至6月4日)', '(2023年上半年成绩复核, 时间, 6月2日至6月4日)', '(考生, 申请, 成绩复核)']"
自学考试,自学考试,成绩、毕业篇,问：如何查看往年考试成绩？答：“上海招考热线网站”（www.shmeea.edu.cn）首页—自学考试—服务平台跳转至“上海市高等教育自学考试考生服务平台”（https://ste.shmeea.edu.cn/）查询考生本人历年考试通过的成绩。没有通过的考试成绩只能在当年考后的时限内进行查询。,"['(上海市教育考试院报名网站, 跳转至, 上海市高等教育自学考试考生服务平台)', '(上海市高等教育自学考试考生服务平台, 提供查询, 历年考试通过的成绩)', '(没有通过的考试成绩, 查询时间限制, 当年考后的时限)']"
自学考试,自学考试,成绩、毕业篇,问：通过考生服务平台查询不到考试成绩？答：请联系主考高校确认。,"['(考生服务平台, 查询, 自考考试成绩)', '(主考高校, 负责确认, 考试成绩)']"
自学考试,自学考试,成绩、毕业篇,问：申请毕业的条件是什么？答：申请毕业须满足以下条件：（1）考完专业考试计划规定的全部课程，并取得合格成绩。（2）完成规定的毕业论文（设计）或者其他实践性环节学习任务，并取得合格成绩。（3）所取得的学分达到专业考试计划规定的要求。（4）经有关单位鉴定思想品德合格。（5）课程免考、课程替换符合规定。（6）申请自学考试专升本专业毕业的考生，须持具有学历教育资格的高等学校、高等教育自学考试机构颁发的高职（专科）（及以上）学历证书。（7）符合相关法律、法规的其他要求。,"['(申请毕业的条件, 包含, 专业考试计划规定的全部课程)', '(申请毕业的条件, 要求, 规定学分)', '(申请毕业的条件, 需要, 思想品德鉴定合格)', '(申请毕业的条件, 包含条件, 课程免考符合规定)', '(申请毕业的条件, 包含条件, 课程替换符合规定)']"
自学考试,自学考试,成绩、毕业篇,问：如何办理毕业申请？答：毕业申请时间：原则上，上半年下半年各一次，具体时间一般为每年的6月中旬和12月中旬，具体见主考高校官网公告。考生因个人原因未能在规定时间内申请办理毕业手续，当次不予补办，可参加下一批毕业手续的办理。考生毕业申请流程：（1）考生须登陆“上海市高等教育自学考试考生服务平台”（https://ste.shmeea.edu.cn/）完善个人身份信息后提交毕业申请。（2）本科毕业生须在“考生服务平台”“上海市高等教育自学考试考生服务平台”输入毕业证书编号，授权并验证学历，如验证不通过，则须上传专科及专科以上学历证书，以及由中国高等教育学生信息网（http://www.chsi.com.cn/）出具的《教育部学历证书电子注册备案表》或《中国高等教育学历认证报告》。（3）在“考生服务平台”提交主考高校考试计划所规定的其他相关材料。,"['(毕业申请, 提交途径, 上海市高等教育自学考试考生服务平台)', '(考生服务平台, 全称, 上海市高等教育自学考试考生服务平台)', '(中国高等教育学生信息网, 出具, 教育部学历证书电子注册备案表)']"
自学考试,自学考试,成绩、毕业篇,问：考生已经通过的自考考试成绩是否有时效性？答：没有时效性。但如果是停考过渡专业，要关注其停考的年份，停考期后不再颁发该专业的毕业证，其考试课程的成绩可以转考至其他省份相同专业。已考成绩如在本市其他主考高校有相同课程可将成绩带入。,"['(自考考试成绩, 时效性, 无)', '(停考过渡专业, 需关注, 停考年份)', '(停考过渡专业, 停考期后不再颁发, 该专业的毕业证)', '(考试课程的成绩, 可转考至, 外省市相同专业)', '(考试课程的成绩, 可转考至, 外省市相同专业)', '(其他主考高校, 位于, 本市)', '(其他主考高校, 开设, 相同课程)', '(已考成绩, 可转入, 其他主考高校的相同课程)']"
自学考试,自学考试,成绩、毕业篇,问：如何办理成绩证明？答：凡参加上海市高等教育自学考试，已取得一门及以上合格成绩且未毕业的考生，可以登录“考生服务平台”（https://ste.shmeea.edu.cn/login.html），点击顶部菜单‘成绩业务’栏下的‘成绩证明’栏目，点击页面中“未申请，点此申请”链接（如下图所示）进入申请成绩证明页面。考生提交申请后，需经主考高校和考试院两级审核，时间一般为5个工作日内。审核通过后，考生可登录服务平台直接下载PDF版电子成绩证明。成绩证明上的二维码可以通过手机扫码进行验证，也可登录网址（https://ste.shmeea.edu.cn/verify.html）输入验证码进行验证。,[]
自学考试,自学考试,成绩、毕业篇,问：如何办理学历证明？答：请考生携带以下材料，于每周二下午13:30～16:00或周五上午9:00～11:00前往考试院申请办理。（市教育考试院对外咨询接待时间，国定休假日除外）。（1）居民身份证（或军官证或士兵证）原件和复印件；（2）毕业证书原件和复印件（如自考生遗失毕业证书原件，须提供自考毕业生登记表原件或由档案部门盖章的复印件）；（3）主考学校的学历证明原件并加盖学校章。,"['(市教育考试院, 营业时间排除, 国定休假日)', '(学历证明, 需要材料, 军官证原件和复印件)', '(学历证明, 需要材料, 毕业证书原件和复印件)', '(学历证明, 需由主考学校盖章, 主考高校)', '(毕业证书, 补办所需替代材料, 自考毕业生登记表)']"
